id,stateAbbr,stateName,stateSalesTax Rate,avgLocalSalesTaxRate,combinedStateLocalSalesTaxRate
1,AL,Alabama,0.04,0.0491,0.0891
2,AK,Alaska,0,0.0176,0.0176
4,AZ,Arizona,0.056,0.0257,0.0817
5,AR,Arkansas,0.065,0.0276,0.0926
6,CA,California,0.075,0.0094,0.0844
8,CO,Colorado,0.029,0.0454,0.0744
9,CT,Connecticut,0.0635,0,0.0635
10,DE,Delaware,0,0,0
11,DC,District of Columbia,0.0575,0,0.0575
12,FL,Florida,0.06,0.0065,0.0665
13,GA,Georgia,0.04,0.0296,0.0696
15,HI,Hawaii,0.04,0.0035,0.0435
16,ID,Idaho,0.06,0.0001,0.0601
17,IL,Illinois,0.0625,0.0194,0.0819
18,IN,Indiana,0.07,0,0.07
19,IA,Iowa,0.06,0.0078,0.0678
20,KS,Kansas,0.0615,0.0205,0.082
21,KY,Kentucky,0.06,0,0.06
22,LA,Louisiana,0.04,0.0491,0.0891
23,ME,Maine,0.055,0,0.055
24,MD,Maryland,0.06,0,0.06
25,MA,Massachusetts,0.0625,0,0.0625
26,MI,Michigan,0.06,0,0.06
27,MN,Minnesota,0.0688,0.0033,0.072
28,MS,Mississippi,0.07,0.0007,0.0707
29,MO,Missouri,0.0423,0.0358,0.0781
30,MT,Montana,0,0,0
31,NE,Nebraska,0.055,0.013,0.068
32,NV,Nevada,0.0685,0.0109,0.0794
33,NH,New Hampshire,0,0,0
34,NJ,New Jersey,0.07,-0.0003,0.0697
35,NM,New Mexico,0.0513,0.0222,0.0735
36,NY,New York,0.04,0.0448,0.0848
37,NC,North Carolina,0.0475,0.0215,0.069
38,ND,North Dakota,0.05,0.0156,0.0656
39,OH,Ohio,0.0575,0.0135,0.071
40,OK,Oklahoma,0.045,0.0427,0.0877
41,OR,Oregon,0,0,0
42,PA,Pennsylvania,0.06,0.0034,0.0634
44,RI,Rhode Island,0.07,0,0.07
45,SC,South Carolina,0.06,0.0113,0.0713
46,SD,South Dakota,0.04,0.0183,0.0583
47,TN,Tennessee,0.07,0.0245,0.0945
48,TX,Texas,0.0625,0.018,0.0805
49,UT,Utah,0.0595,0.0073,0.0668
50,VT,Vermont,0.06,0.0014,0.0614
51,VA,Virginia,0.053,0.0033,0.0563
53,WA,Washington,0.065,0.0239,0.0889
54,WV,West Virginia,0.06,0.0007,0.0607
55,WI,Wisconsin,0.05,0.0043,0.0543
56,WY,Wyoming,0.04,0.0147,0.0547
