id,stateAbbr,stateName,incomeTaxRate,incomeGreaterThan,incomeNotGreaterThan
1,AL,Alabama,0.02,0,500
1,AL,Alabama,0.04,500,3000
1,AL,Alabama,0.05,3000,
2,AK,Alaska,0,0,0
4,AZ,Arizona,0.0259,0,10000
4,AZ,Arizona,0.0288,10000,25000
4,AZ,Arizona,0.0336,25000,50000
4,AZ,Arizona,0.0424,50000,150000
4,AZ,Arizona,0.0454,150000,
5,AR,Arkansas,0.009,0,4299
5,AR,Arkansas,0.024,4299,8399
5,AR,Arkansas,0.034,8399,12599
5,AR,Arkansas,0.044,12599,20999
5,AR,Arkansas,0.059,20999,35099
5,AR,Arkansas,0.069,35099,
6,CA,California,0.01,0,7749
6,CA,California,0.02,7749,18371
6,CA,California,0.04,18371,28995
6,CA,California,0.06,28995,40250
6,CA,California,0.08,40250,50689
6,CA,California,0.093,50689,259844
6,CA,California,0.103,259844,311812
6,CA,California,0.113,311812,519867
6,CA,California,0.123,519867,1000000
6,CA,California,0.133,1000000,
8,CO,Colorado,0.046,0,0
9,CT,Connecticut,0.03,0,10000
9,CT,Connecticut,0.05,10000,50000
9,CT,Connecticut,0.055,50000,100000
9,CT,Connecticut,0.06,100000,200000
9,CT,Connecticut,0.065,200000,250000
9,CT,Connecticut,0.067,250000,2000
10,DE,Delaware,0.022,2000,5000
10,DE,Delaware,0.039,5000,10000
10,DE,Delaware,0.048,10000,20000
10,DE,Delaware,0.052,20000,25000
10,DE,Delaware,0.0555,25000,60000
10,DE,Delaware,0.066,60000,
11,DC,District of Columbia,0.04,0,10000
11,DC,District of Columbia,0.06,10000,40000
11,DC,District of Columbia,0.07,40000,60000
11,DC,District of Columbia,0.085,60000,350000
11,DC,District of Columbia,0.0895,350000,
12,FL,Florida,0,0,0
13,GA,Georgia,0.01,0,750
13,GA,Georgia,0.02,750,2250
13,GA,Georgia,0.03,2250,3750
13,GA,Georgia,0.04,3750,5250
13,GA,Georgia,0.05,5250,7000
13,GA,Georgia,0.06,7000,
15,HI,Hawaii,0.014,0,2400
15,HI,Hawaii,0.032,2400,4800
15,HI,Hawaii,0.055,4800,9600
15,HI,Hawaii,0.064,9600,14400
15,HI,Hawaii,0.068,14400,19200
15,HI,Hawaii,0.072,19200,24000
15,HI,Hawaii,0.076,24000,36000
15,HI,Hawaii,0.079,36000,48000
15,HI,Hawaii,0.0825,48000,150000
15,HI,Hawaii,0.09,150000,175000
15,HI,Hawaii,0.1,175000,200000
15,HI,Hawaii,0.11,200000,
16,ID,Idaho,0.016,0,1428
16,ID,Idaho,0.036,1428,2857
16,ID,Idaho,0.041,2857,4286
16,ID,Idaho,0.051,4286,5715
16,ID,Idaho,0.061,5715,7144
16,ID,Idaho,0.071,7144,10717
16,ID,Idaho,0.074,10717,
17,IL,Illinois,0.0375,0,
18,IN,Indiana,0.033,0,
19,IA,Iowa,0.0036,0,1539
19,IA,Iowa,0.0072,1539,3078
19,IA,Iowa,0.0243,3078,6156
19,IA,Iowa,0.045,6156,13851
19,IA,Iowa,0.0612,13851,23085
19,IA,Iowa,0.0648,23085,30780
19,IA,Iowa,0.068,30780,46170
19,IA,Iowa,0.0792,46170,69255
19,IA,Iowa,0.0898,69255,
20,KS,Kansas,0.027,0,15000
20,KS,Kansas,0.046,15000,
21,KY,Kentucky,0.02,0,3000
21,KY,Kentucky,0.03,3000,4000
21,KY,Kentucky,0.04,4000,5000
21,KY,Kentucky,0.05,5000,8000
21,KY,Kentucky,0.058,8000,75000
21,KY,Kentucky,0.06,75000,
22,LA,Louisiana,0.02,0,12500
22,LA,Louisiana,0.04,12500,50000
22,LA,Louisiana,0.06,50000,5199
23,ME,Maine,0.065,5199,20899
23,ME,Maine,0.0795,20899,
25,MA,Massachusetts,0.02,0,1000
25,MA,Massachusetts,0.03,1000,2000
25,MA,Massachusetts,0.04,2000,3000
25,MA,Massachusetts,0.0475,3000,100000
25,MA,Massachusetts,0.05,100000,125000
25,MA,Massachusetts,0.0525,125000,150000
25,MA,Massachusetts,0.055,150000,250000
25,MA,Massachusetts,0.0575,250000,
24,MD,Maryland,0.0515,0,
26,MI,Michigan,0.0425,0,
27,MN,Minnesota,0.0535,0,25070
27,MN,Minnesota,0.0705,25070,82360
27,MN,Minnesota,0.0785,82360,154950
27,MN,Minnesota,0.0985,154950,
28,MS,Mississippi,0.03,0,5000
28,MS,Mississippi,0.04,5000,10000
28,MS,Mississippi,0.05,10000,
29,MO,Missouri,0.015,0,1000
29,MO,Missouri,0.02,1000,2000
29,MO,Missouri,0.025,2000,3000
29,MO,Missouri,0.03,3000,4000
29,MO,Missouri,0.035,4000,5000
29,MO,Missouri,0.04,5000,6000
29,MO,Missouri,0.045,6000,7000
29,MO,Missouri,0.05,7000,8000
29,MO,Missouri,0.055,8000,9000
29,MO,Missouri,0.06,9000,
30,MT,Montana,0.01,0,2800
30,MT,Montana,0.02,2800,5000
30,MT,Montana,0.03,5000,7600
30,MT,Montana,0.04,7600,10300
30,MT,Montana,0.05,10300,13300
30,MT,Montana,0.06,13300,17000
30,MT,Montana,0.069,17000,
37,NC,North Carolina,0.0246,0,3000
37,NC,North Carolina,0.0351,3000,18000
37,NC,North Carolina,0.0501,18000,29000
37,NC,North Carolina,0.0684,29000,
38,ND,North Dakota,0,0,
33,NH,New Hampshire,0.05,0,
34,NJ,New Jersey,0.014,0,20000
34,NJ,New Jersey,0.0175,20000,35000
34,NJ,New Jersey,0.035,35000,40000
34,NJ,New Jersey,0.05525,40000,75000
34,NJ,New Jersey,0.0637,75000,500000
34,NJ,New Jersey,0.0897,500000,
35,NM,New Mexico,0.017,0,5500
35,NM,New Mexico,0.032,5500,11000
35,NM,New Mexico,0.047,11000,16000
35,NM,New Mexico,0.049,16000,
36,NY,New York,0.04,0,8400
