id,stateAbbr,stateName,federalAidPercentage
0,US,United States,0.3
1,AL,Alabama,0.361
2,AK,Alaska,0.224
4,AZ,Arizona,0.348
5,AR,Arkansas,0.329
6,CA,California,0.25
8,CO,Colorado,0.278
9,CT,Connecticut,0.234
10,DE,Delaware,0.248
12,FL,Florida,0.315
13,GA,Georgia,0.373
15,HI,Hawaii,0.215
16,ID,Idaho,0.344
17,IL,Illinois,0.259
18,IN,Indiana,0.334
19,IA,Iowa,0.319
20,KS,Kansas,0.249
21,KY,Kentucky,0.351
22,LA,Louisiana,0.419
23,ME,Maine,0.353
24,MD,Maryland,0.286
25,MA,Massachusetts,0.287
26,MI,Michigan,0.328
27,MN,Minnesota,0.264
28,MS,Mississippi,0.429
29,MO,Missouri,0.382
30,MT,Montana,0.374
31,NE,Nebraska,0.321
32,NV,Nevada,0.25
33,NH,New Hampshire,0.271
34,NJ,New Jersey,0.255
35,NM,New Mexico,0.366
36,NY,New York,0.28
37,NC,North Carolina,0.325
38,ND,North Dakota,0.19
39,OH,Ohio,0.336
40,OK,Oklahoma,0.338
41,OR,Oregon,0.35
42,PA,Pennsylvania,0.304
44,RI,Rhode Island,0.336
45,SC,South Carolina,0.302
46,SD,South Dakota,0.39
47,TN,Tennessee,0.395
48,TX,Texas,0.326
49,UT,Utah,0.29
50,VT,Vermont,0.332
51,VA,Virginia,0.229
53,WA,Washington,0.273
54,WV,West Virginia,0.341
55,WI,Wisconsin,0.277
56,WY,Wyoming,0.352
