id,stateAbbr,stateName,collectionsPerCapita
0,US,United States,983
1,AL,Alabama,664
2,AK,Alaska,0
4,AZ,Arizona,516
5,AR,Arkansas,897
6,CA,California,1750
8,CO,Colorado,612
9,CT,Connecticut,2174
10,DE,Delaware,1227
12,FL,Florida,0
13,GA,Georgia,881
15,HI,Hawaii,1242
16,ID,Idaho,806
17,IL,Illinois,1285
18,IN,Indiana,759
19,IA,Iowa,1115
20,KS,Kansas,1023
21,KY,Kentucky,849
22,LA,Louisiana,594
23,ME,Maine,1153
24,MD,Maryland,1302
25,MA,Massachusetts,1931
26,MI,Michigan,833
27,MN,Minnesota,1658
28,MS,Mississippi,587
29,MO,Missouri,892
30,MT,Montana,1035
31,NE,Nebraska,1129
32,NV,Nevada,0
33,NH,New Hampshire,75
34,NJ,New Jersey,1363
35,NM,New Mexico,595
36,NY,New York,2051
37,NC,North Carolina,1130
38,ND,North Dakota,901
39,OH,Ohio,854
40,OK,Oklahoma,761
41,OR,Oregon,1599
42,PA,Pennsylvania,844
44,RI,Rhode Island,1036
45,SC,South Carolina,707
46,SD,South Dakota,$0
47,TN,Tennessee,41
48,TX,Texas,0
49,UT,Utah,991
50,VT,Vermont,1059
51,VA,Virginia,1326
53,WA,Washington,0
54,WV,West Virginia,968
55,WI,Wisconsin,1261
56,WY,Wyoming,0
