CBSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,County/County Equivalent,State Name,FIPS Code
11700,"Asheville, NC",Metropolitan Statistical Area,Henderson County,North Carolina,37089
11700,"Asheville, NC",Metropolitan Statistical Area,Madison County,North Carolina,37115
11740,"Ashland, OH",Micropolitan Statistical Area,Ashland County,Ohio,39005
11780,"Ashtabula, OH",Micropolitan Statistical Area,Ashtabula County,Ohio,39007
11820,"Astoria, OR",Micropolitan Statistical Area,Clatsop County,Oregon,41007
11860,"Atchison, KS",Micropolitan Statistical Area,Atchison County,Kansas,20005
11900,"Athens, OH",Micropolitan Statistical Area,Athens County,Ohio,39009
11940,"Athens, TN",Micropolitan Statistical Area,McMinn County,Tennessee,47107
11980,"Athens, TX",Micropolitan Statistical Area,Henderson County,Texas,48213
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,Clarke County,Georgia,13059
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,Madison County,Georgia,13195
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,Oconee County,Georgia,13219
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,Oglethorpe County,Georgia,13221
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Barrow County,Georgia,13013
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Bartow County,Georgia,13015
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Butts County,Georgia,13035
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Carroll County,Georgia,13045
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Cherokee County,Georgia,13057
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Clayton County,Georgia,13063
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Cobb County,Georgia,13067
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Coweta County,Georgia,13077
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Dawson County,Georgia,13085
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,DeKalb County,Georgia,13089
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Douglas County,Georgia,13097
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Fayette County,Georgia,13113
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Forsyth County,Georgia,13117
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Fulton County,Georgia,13121
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Gwinnett County,Georgia,13135
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Haralson County,Georgia,13143
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Heard County,Georgia,13149
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Henry County,Georgia,13151
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Jasper County,Georgia,13159
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Lamar County,Georgia,13171
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Meriwether County,Georgia,13199
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Morgan County,Georgia,13211
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Newton County,Georgia,13217
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Paulding County,Georgia,13223
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Pickens County,Georgia,13227
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Pike County,Georgia,13231
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Rockdale County,Georgia,13247
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Spalding County,Georgia,13255
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Walton County,Georgia,13297
12100,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,Atlantic County,New Jersey,34001
12140,"Auburn, IN",Micropolitan Statistical Area,DeKalb County,Indiana,18033
12180,"Auburn, NY",Micropolitan Statistical Area,Cayuga County,New York,36011
12220,"Auburn-Opelika, AL",Metropolitan Statistical Area,Lee County,Alabama,1081
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,Burke County,Georgia,13033
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,Columbia County,Georgia,13073
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,Lincoln County,Georgia,13181
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,McDuffie County,Georgia,13189
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,Richmond County,Georgia,13245
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,Aiken County,South Carolina,45003
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,Edgefield County,South Carolina,45037
12300,"Augusta-Waterville, ME",Micropolitan Statistical Area,Kennebec County,Maine,23011
12380,"Austin, MN",Micropolitan Statistical Area,Mower County,Minnesota,27099
12420,"Austin-Round Rock, TX",Metropolitan Statistical Area,Bastrop County,Texas,48021
12420,"Austin-Round Rock, TX",Metropolitan Statistical Area,Caldwell County,Texas,48055
12420,"Austin-Round Rock, TX",Metropolitan Statistical Area,Hays County,Texas,48209
12420,"Austin-Round Rock, TX",Metropolitan Statistical Area,Travis County,Texas,48453
12420,"Austin-Round Rock, TX",Metropolitan Statistical Area,Williamson County,Texas,48491
12460,"Bainbridge, GA",Micropolitan Statistical Area,Decatur County,Georgia,13087
12540,"Bakersfield, CA",Metropolitan Statistical Area,Kern County,California,6029
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Anne Arundel County,Maryland,24003
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Baltimore County,Maryland,24005
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Carroll County,Maryland,24013
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Harford County,Maryland,24025
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Howard County,Maryland,24027
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Queen Anne's County,Maryland,24035
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Baltimore city,Maryland,24510
12620,"Bangor, ME",Metropolitan Statistical Area,Penobscot County,Maine,23019
12660,"Baraboo, WI",Micropolitan Statistical Area,Sauk County,Wisconsin,55111
12680,"Bardstown, KY",Micropolitan Statistical Area,Nelson County,Kentucky,21179
12700,"Barnstable Town, MA",Metropolitan Statistical Area,Barnstable County,Massachusetts,25001
12740,"Barre, VT",Micropolitan Statistical Area,Washington County,Vermont,50023
12780,"Bartlesville, OK",Micropolitan Statistical Area,Washington County,Oklahoma,40147
12820,"Bastrop, LA",Micropolitan Statistical Area,Morehouse Parish,Louisiana,22067
12860,"Batavia, NY",Micropolitan Statistical Area,Genesee County,New York,36037
12900,"Batesville, AR",Micropolitan Statistical Area,Independence County,Arkansas,5063
12940,"Baton Rouge, LA",Metropolitan Statistical Area,Ascension Parish,Louisiana,22005
12940,"Baton Rouge, LA",Metropolitan Statistical Area,East Baton Rouge Parish,Louisiana,22033
12940,"Baton Rouge, LA",Metropolitan Statistical Area,East Feliciana Parish,Louisiana,22037
12940,"Baton Rouge, LA",Metropolitan Statistical Area,Iberville Parish,Louisiana,22047
12940,"Baton Rouge, LA",Metropolitan Statistical Area,Livingston Parish,Louisiana,22063
12940,"Baton Rouge, LA",Metropolitan Statistical Area,Pointe Coupee Parish,Louisiana,22077
12940,"Baton Rouge, LA",Metropolitan Statistical Area,St. Helena Parish,Louisiana,22091
12940,"Baton Rouge, LA",Metropolitan Statistical Area,West Baton Rouge Parish,Louisiana,22121
12940,"Baton Rouge, LA",Metropolitan Statistical Area,West Feliciana Parish,Louisiana,22125
12980,"Battle Creek, MI",Metropolitan Statistical Area,Calhoun County,Michigan,26025
13020,"Bay City, MI",Metropolitan Statistical Area,Bay County,Michigan,26017
13060,"Bay City, TX",Micropolitan Statistical Area,Matagorda County,Texas,48321
13100,"Beatrice, NE",Micropolitan Statistical Area,Gage County,Nebraska,31067
13140,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,Hardin County,Texas,48199
13140,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,Jefferson County,Texas,48245
13140,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,Newton County,Texas,48351
13140,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,Orange County,Texas,48361
13180,"Beaver Dam, WI",Micropolitan Statistical Area,Dodge County,Wisconsin,55027
13220,"Beckley, WV",Metropolitan Statistical Area,Fayette County,West Virginia,54019
13220,"Beckley, WV",Metropolitan Statistical Area,Raleigh County,West Virginia,54081
13260,"Bedford, IN",Micropolitan Statistical Area,Lawrence County,Indiana,18093
13300,"Beeville, TX",Micropolitan Statistical Area,Bee County,Texas,48025
13340,"Bellefontaine, OH",Micropolitan Statistical Area,Logan County,Ohio,39091
13380,"Bellingham, WA",Metropolitan Statistical Area,Whatcom County,Washington,53073
13420,"Bemidji, MN",Micropolitan Statistical Area,Beltrami County,Minnesota,27007
13460,"Bend-Redmond, OR",Metropolitan Statistical Area,Deschutes County,Oregon,41017
13500,"Bennettsville, SC",Micropolitan Statistical Area,Marlboro County,South Carolina,45069
13540,"Bennington, VT",Micropolitan Statistical Area,Bennington County,Vermont,50003
13620,"Berlin, NH-VT",Micropolitan Statistical Area,Coos County,New Hampshire,33007
13620,"Berlin, NH-VT",Micropolitan Statistical Area,Essex County,Vermont,50009
13660,"Big Rapids, MI",Micropolitan Statistical Area,Mecosta County,Michigan,26107
13700,"Big Spring, TX",Micropolitan Statistical Area,Glasscock County,Texas,48173
13700,"Big Spring, TX",Micropolitan Statistical Area,Howard County,Texas,48227
13720,"Big Stone Gap, VA",Micropolitan Statistical Area,Dickenson County,Virginia,51051
13720,"Big Stone Gap, VA",Micropolitan Statistical Area,Wise County,Virginia,51195
13720,"Big Stone Gap, VA",Micropolitan Statistical Area,Norton city,Virginia,51720
13740,"Billings, MT",Metropolitan Statistical Area,Carbon County,Montana,30009
13740,"Billings, MT",Metropolitan Statistical Area,Golden Valley County,Montana,30037
13740,"Billings, MT",Metropolitan Statistical Area,Yellowstone County,Montana,30111
13780,"Binghamton, NY",Metropolitan Statistical Area,Broome County,New York,36007
13780,"Binghamton, NY",Metropolitan Statistical Area,Tioga County,New York,36107
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,Bibb County,Alabama,1007
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,Blount County,Alabama,1009
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,Chilton County,Alabama,1021
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,Jefferson County,Alabama,1073
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,St. Clair County,Alabama,1115
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,Shelby County,Alabama,1117
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,Walker County,Alabama,1127
13900,"Bismarck, ND",Metropolitan Statistical Area,Burleigh County,North Dakota,38015
13900,"Bismarck, ND",Metropolitan Statistical Area,Morton County,North Dakota,38059
13900,"Bismarck, ND",Metropolitan Statistical Area,Oliver County,North Dakota,38065
13900,"Bismarck, ND",Metropolitan Statistical Area,Sioux County,North Dakota,38085
13940,"Blackfoot, ID",Micropolitan Statistical Area,Bingham County,Idaho,16011
13980,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,Floyd County,Virginia,51063
13980,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,Giles County,Virginia,51071
13980,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,Montgomery County,Virginia,51121
13980,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,Pulaski County,Virginia,51155
13980,"Blacksburg-Christiansburg-Radford, VA",Metropolitan Statistical Area,Radford city,Virginia,51750
14010,"Bloomington, IL",Metropolitan Statistical Area,De Witt County,Illinois,17039
14010,"Bloomington, IL",Metropolitan Statistical Area,McLean County,Illinois,17113
14020,"Bloomington, IN",Metropolitan Statistical Area,Monroe County,Indiana,18105
14020,"Bloomington, IN",Metropolitan Statistical Area,Owen County,Indiana,18119
14100,"Bloomsburg-Berwick, PA",Metropolitan Statistical Area,Columbia County,Pennsylvania,42037
14100,"Bloomsburg-Berwick, PA",Metropolitan Statistical Area,Montour County,Pennsylvania,42093
14140,"Bluefield, WV-VA",Micropolitan Statistical Area,Tazewell County,Virginia,51185
14140,"Bluefield, WV-VA",Micropolitan Statistical Area,Mercer County,West Virginia,54055
14180,"Blytheville, AR",Micropolitan Statistical Area,Mississippi County,Arkansas,5093
14220,"Bogalusa, LA",Micropolitan Statistical Area,Washington Parish,Louisiana,22117
14260,"Boise City, ID",Metropolitan Statistical Area,Ada County,Idaho,16001
14260,"Boise City, ID",Metropolitan Statistical Area,Boise County,Idaho,16015
14260,"Boise City, ID",Metropolitan Statistical Area,Canyon County,Idaho,16027
14260,"Boise City, ID",Metropolitan Statistical Area,Gem County,Idaho,16045
14260,"Boise City, ID",Metropolitan Statistical Area,Owyhee County,Idaho,16073
14340,"Boone, IA",Micropolitan Statistical Area,Boone County,Iowa,19015
14380,"Boone, NC",Micropolitan Statistical Area,Watauga County,North Carolina,37189
14420,"Borger, TX",Micropolitan Statistical Area,Hutchinson County,Texas,48233
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Norfolk County,Massachusetts,25021
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Plymouth County,Massachusetts,25023
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Suffolk County,Massachusetts,25025
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Essex County,Massachusetts,25009
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Middlesex County,Massachusetts,25017
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Rockingham County,New Hampshire,33015
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Strafford County,New Hampshire,33017
14500,"Boulder, CO",Metropolitan Statistical Area,Boulder County,Colorado,8013
14540,"Bowling Green, KY",Metropolitan Statistical Area,Allen County,Kentucky,21003
14540,"Bowling Green, KY",Metropolitan Statistical Area,Butler County,Kentucky,21031
14540,"Bowling Green, KY",Metropolitan Statistical Area,Edmonson County,Kentucky,21061
14540,"Bowling Green, KY",Metropolitan Statistical Area,Warren County,Kentucky,21227
14580,"Bozeman, MT",Micropolitan Statistical Area,Gallatin County,Montana,30031
14620,"Bradford, PA",Micropolitan Statistical Area,McKean County,Pennsylvania,42083
14660,"Brainerd, MN",Micropolitan Statistical Area,Cass County,Minnesota,27021
14660,"Brainerd, MN",Micropolitan Statistical Area,Crow Wing County,Minnesota,27035
14700,"Branson, MO",Micropolitan Statistical Area,Stone County,Missouri,29209
14700,"Branson, MO",Micropolitan Statistical Area,Taney County,Missouri,29213
14720,"Breckenridge, CO",Micropolitan Statistical Area,Summit County,Colorado,8117
14740,"Bremerton-Silverdale, WA",Metropolitan Statistical Area,Kitsap County,Washington,53035
14780,"Brenham, TX",Micropolitan Statistical Area,Washington County,Texas,48477
14820,"Brevard, NC",Micropolitan Statistical Area,Transylvania County,North Carolina,37175
14860,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,Fairfield County,Connecticut,9001
15020,"Brookhaven, MS",Micropolitan Statistical Area,Lincoln County,Mississippi,28085
15060,"Brookings, OR",Micropolitan Statistical Area,Curry County,Oregon,41015
15100,"Brookings, SD",Micropolitan Statistical Area,Brookings County,South Dakota,46011
15180,"Brownsville-Harlingen, TX",Metropolitan Statistical Area,Cameron County,Texas,48061
15220,"Brownwood, TX",Micropolitan Statistical Area,Brown County,Texas,48049
15260,"Brunswick, GA",Metropolitan Statistical Area,Brantley County,Georgia,13025
15260,"Brunswick, GA",Metropolitan Statistical Area,Glynn County,Georgia,13127
15260,"Brunswick, GA",Metropolitan Statistical Area,McIntosh County,Georgia,13191
15340,"Bucyrus, OH",Micropolitan Statistical Area,Crawford County,Ohio,39033
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Metropolitan Statistical Area,Erie County,New York,36029
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Metropolitan Statistical Area,Niagara County,New York,36063
15420,"Burley, ID",Micropolitan Statistical Area,Cassia County,Idaho,16031
15420,"Burley, ID",Micropolitan Statistical Area,Minidoka County,Idaho,16067
15460,"Burlington, IA-IL",Micropolitan Statistical Area,Henderson County,Illinois,17071
15460,"Burlington, IA-IL",Micropolitan Statistical Area,Des Moines County,Iowa,19057
15500,"Burlington, NC",Metropolitan Statistical Area,Alamance County,North Carolina,37001
15540,"Burlington-South Burlington, VT",Metropolitan Statistical Area,Chittenden County,Vermont,50007
15540,"Burlington-South Burlington, VT",Metropolitan Statistical Area,Franklin County,Vermont,50011
15540,"Burlington-South Burlington, VT",Metropolitan Statistical Area,Grand Isle County,Vermont,50013
15580,"Butte-Silver Bow, MT",Micropolitan Statistical Area,Silver Bow County,Montana,30093
15620,"Cadillac, MI",Micropolitan Statistical Area,Missaukee County,Michigan,26113
15620,"Cadillac, MI",Micropolitan Statistical Area,Wexford County,Michigan,26165
15660,"Calhoun, GA",Micropolitan Statistical Area,Gordon County,Georgia,13129
15680,"California-Lexington Park, MD",Metropolitan Statistical Area,St. Mary's County,Maryland,24037
15700,"Cambridge, MD",Micropolitan Statistical Area,Dorchester County,Maryland,24019
15740,"Cambridge, OH",Micropolitan Statistical Area,Guernsey County,Ohio,39059
15780,"Camden, AR",Micropolitan Statistical Area,Calhoun County,Arkansas,5013
15780,"Camden, AR",Micropolitan Statistical Area,Ouachita County,Arkansas,5103
15820,"Campbellsville, KY",Micropolitan Statistical Area,Taylor County,Kentucky,21217
15860,"Cañon City, CO",Micropolitan Statistical Area,Fremont County,Colorado,8043
15900,"Canton, IL",Micropolitan Statistical Area,Fulton County,Illinois,17057
15940,"Canton-Massillon, OH",Metropolitan Statistical Area,Carroll County,Ohio,39019
15940,"Canton-Massillon, OH",Metropolitan Statistical Area,Stark County,Ohio,39151
15980,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,Lee County,Florida,12071
16020,"Cape Girardeau, MO-IL",Metropolitan Statistical Area,Alexander County,Illinois,17003
16020,"Cape Girardeau, MO-IL",Metropolitan Statistical Area,Bollinger County,Missouri,29017
16020,"Cape Girardeau, MO-IL",Metropolitan Statistical Area,Cape Girardeau County,Missouri,29031
16060,"Carbondale-Marion, IL",Metropolitan Statistical Area,Jackson County,Illinois,17077
16060,"Carbondale-Marion, IL",Metropolitan Statistical Area,Williamson County,Illinois,17199
16100,"Carlsbad-Artesia, NM",Micropolitan Statistical Area,Eddy County,New Mexico,35015
16180,"Carson City, NV",Metropolitan Statistical Area,Carson City,Nevada,32510
16220,"Casper, WY",Metropolitan Statistical Area,Natrona County,Wyoming,56025
16260,"Cedar City, UT",Micropolitan Statistical Area,Iron County,Utah,49021
16300,"Cedar Rapids, IA",Metropolitan Statistical Area,Benton County,Iowa,19011
16300,"Cedar Rapids, IA",Metropolitan Statistical Area,Jones County,Iowa,19105
16300,"Cedar Rapids, IA",Metropolitan Statistical Area,Linn County,Iowa,19113
16340,"Cedartown, GA",Micropolitan Statistical Area,Polk County,Georgia,13233
16380,"Celina, OH",Micropolitan Statistical Area,Mercer County,Ohio,39107
16460,"Centralia, IL",Micropolitan Statistical Area,Marion County,Illinois,17121
16500,"Centralia, WA",Micropolitan Statistical Area,Lewis County,Washington,53041
16540,"Chambersburg-Waynesboro, PA",Metropolitan Statistical Area,Franklin County,Pennsylvania,42055
16580,"Champaign-Urbana, IL",Metropolitan Statistical Area,Champaign County,Illinois,17019
16580,"Champaign-Urbana, IL",Metropolitan Statistical Area,Ford County,Illinois,17053
16580,"Champaign-Urbana, IL",Metropolitan Statistical Area,Piatt County,Illinois,17147
16620,"Charleston, WV",Metropolitan Statistical Area,Boone County,West Virginia,54005
16620,"Charleston, WV",Metropolitan Statistical Area,Clay County,West Virginia,54015
16620,"Charleston, WV",Metropolitan Statistical Area,Kanawha County,West Virginia,54039
16660,"Charleston-Mattoon, IL",Micropolitan Statistical Area,Coles County,Illinois,17029
16660,"Charleston-Mattoon, IL",Micropolitan Statistical Area,Cumberland County,Illinois,17035
