id,stateAbbr,stateName,taxPerGallon
0,US,United States,1.07
1,AL,Alabama,1.7
2,AK,Alaska,2.5
4,AZ,Arizona,0.84
5,AR,Arkansas,1.35
6,CA,California,0.2
8,CO,Colorado,0.32
9,CT,Connecticut,0.72
10,DE,Delaware,0.97
11,DC,District of Columbia,1.72
12,FL,Florida,2.25
13,GA,Georgia,1.51
15,HI,Hawaii,1.38
16,ID,Idaho,0.45
17,IL,Illinois,1.39
18,IN,Indiana,0.47
19,IA,Iowa,1.75
20,KS,Kansas,0.3
21,KY,Kentucky,3.3
22,LA,Louisiana,0.11
23,ME,Maine,0.6
24,MD,Maryland,1.35
25,MA,Massachusetts,0.55
26,MI,Michigan,0.51
27,MN,Minnesota,1.18
28,MS,Mississippi,0
29,MO,Missouri,0.42
30,MT,Montana,1.06
31,NE,Nebraska,0.95
32,NV,Nevada,0.7
33,NH,New Hampshire,0
34,NJ,New Jersey,0.88
35,NM,New Mexico,1.7
36,NY,New York,0.3
37,NC,North Carolina,1
38,ND,North Dakota,1.06
39,OH,Ohio,0.32
40,OK,Oklahoma,0.72
41,OR,Oregon,0.67
42,PA,Pennsylvania,0
44,RI,Rhode Island,1.4
45,SC,South Carolina,1.08
46,SD,South Dakota,1.27
47,TN,Tennessee,1.27
48,TX,Texas,0.2
49,UT,Utah,0
50,VT,Vermont,0.55
51,VA,Virginia,1.51
53,WA,Washington,0.87
54,WV,West Virginia,1
55,WI,Wisconsin,0.25
56,WY,Wyoming,0
