id,location,year,burden,totalTaxBurdenPerCapita
0,United States,2012,0.099,4420
1,Alabama,2012,0.087,3067
2,Alaska,2012,0.065,3229
4,Arizona,2012,0.088,3276
5,Arkansas,2012,0.101,3519
6,California,2012,0.11,5237
8,Colorado,2012,0.089,4304
9,Connecticut,2012,0.126,7869
10,Delaware,2012,0.102,4412
11,District of Columbia,2012,0.106,7541
12,Florida,2012,0.089,3738
13,Georgia,2012,0.091,3426
15,Hawaii,2012,0.102,4576
16,Idaho,2012,0.093,3318
17,Illinois,2012,0.11,5235
18,Indiana,2012,0.095,3585
19,Iowa,2012,0.092,4037
20,Kansas,2012,0.095,4131
21,Kentucky,2012,0.095,3298
22,Louisiana,2012,0.076,2950
23,Maine,2012,0.102,3997
24,Maryland,2012,0.109,5920
25,Massachusetts,2012,0.103,5872
26,Michigan,2012,0.094,3631
27,Minnesota,2012,0.108,5185
28,Mississippi,2012,0.086,2742
29,Missouri,2012,0.093,3591
30,Montana,2012,0.087,3389
31,Nebraska,2012,0.092,4197
32,Nevada,2012,0.081,3349
33,New Hampshire,2012,0.079,3961
34,New Jersey,2012,0.122,6926
35,New Mexico,2012,0.087,3141
36,New York,2012,0.127,6993
37,North Carolina,2012,0.098,3659
38,North Dakota,2012,0.09,4867
39,Ohio,2012,0.098,3924
40,Oklahoma,2012,0.086,3515
41,Oregon,2012,0.103,4095
42,Pennsylvania,2012,0.102,4589
44,Rhode Island,2012,0.108,4998
45,South Carolina,2012,0.084,2936
46,South Dakota,2012,0.071,3318
47,Tennessee,2012,0.073,2805
48,Texas,2012,0.076,3340
49,Utah,2012,0.096,3556
50,Vermont,2012,0.103,4557
51,Virginia,2012,0.093,4623
53,Washington,2012,0.093,4541
54,West Virginia,2012,0.098,3331
55,Wisconsin,2012,0.11,4734
56,Wyoming,2012,0.071,4407
