id,stateAbbr,stateName,incomeTaxRate,incomeGreaterThan,incomeNotGreaterThan
1,AL,Alabama,0.02,0,500
1,AL,Alabama,0.04,500,3000
1,AL,Alabama,0.05,3000,
2,AK,Alaska,0,0,
4,AZ,Arizona,0.0259,0,10000
4,AZ,Arizona,0.0288,10000,25000
4,AZ,Arizona,0.0336,25000,50000
4,AZ,Arizona,0.0424,50000,150000
4,AZ,Arizona,0.0454,150000,
5,AR,Arkansas,0.009,0,4299
5,AR,Arkansas,0.025,4299,8399
5,AR,Arkansas,0.035,8399,12599
5,AR,Arkansas,0.045,12599,20999
5,AR,Arkansas,0.06,20999,35099
5,AR,Arkansas,0.069,35099,
6,CA,California,0.01,0,7850
6,CA,California,0.02,7850,18610
6,CA,California,0.04,18610,29372
6,CA,California,0.06,29372,40773
6,CA,California,0.08,40773,51530
6,CA,California,0.093,51530,263222
6,CA,California,0.103,263222,315866
6,CA,California,0.113,315866,526443
6,CA,California,0.123,526443,1000000
6,CA,California,0.133,1000000,
8,CO,Colorado,0.0463,0,
9,CT,Connecticut,0.03,0,10000
9,CT,Connecticut,0.05,10000,50000
9,CT,Connecticut,0.055,50000,100000
9,CT,Connecticut,0.06,100000,200000
9,CT,Connecticut,0.065,200000,250000
9,CT,Connecticut,0.069,250000,500000
9,CT,Connecticut,0.0699,500000,2000
10,DE,Delaware,0.022,2000,5000
10,DE,Delaware,0.039,5000,10000
10,DE,Delaware,0.048,10000,20000
10,DE,Delaware,0.052,20000,25000
10,DE,Delaware,0.0555,25000,60000
10,DE,Delaware,0.066,60000,
11,DC,District of Columbia,0.04,0,10000
11,DC,District of Columbia,0.06,10000,40000
11,DC,District of Columbia,0.07,40000,60000
11,DC,District of Columbia,0.085,60000,350000
11,DC,District of Columbia,0.0895,350000,
12,FL,Florida,0,0,
13,GA,Georgia,0.01,0,750
13,GA,Georgia,0.02,750,2250
13,GA,Georgia,0.03,2250,3750
13,GA,Georgia,0.04,3750,5250
13,GA,Georgia,0.05,5250,7000
13,GA,Georgia,0.06,7000,
15,HI,Hawaii,0.014,0,2400
15,HI,Hawaii,0.032,2400,4800
15,HI,Hawaii,0.055,4800,9600
15,HI,Hawaii,0.064,9600,14400
15,HI,Hawaii,0.068,14400,19200
15,HI,Hawaii,0.072,19200,24000
15,HI,Hawaii,0.076,24000,36000
15,HI,Hawaii,0.079,36000,48000
15,HI,Hawaii,0.0825,48000,
16,ID,Idaho,0.016,0,1452
16,ID,Idaho,0.036,1452,2904
16,ID,Idaho,0.041,2904,4356
16,ID,Idaho,0.051,4356,5808
16,ID,Idaho,0.061,5808,7260
16,ID,Idaho,0.071,7260,10890
16,ID,Idaho,0.074,10890,
17,IL,Illinois,0.0375,0,
18,IN,Indiana,0.033,0,
19,IA,Iowa,0.0036,0,1554
19,IA,Iowa,0.0072,1554,3108
19,IA,Iowa,0.0243,3108,6216
19,IA,Iowa,0.045,6216,13986
19,IA,Iowa,0.0612,13986,23310
19,IA,Iowa,0.0648,23310,31080
19,IA,Iowa,0.068,31080,46620
19,IA,Iowa,0.0792,46620,69930
19,IA,Iowa,0.0898,69930,
20,KS,Kansas,0.027,0,15000
20,KS,Kansas,0.046,15000,
21,KY,Kentucky,0.02,0,3000
21,KY,Kentucky,0.03,3000,4000
21,KY,Kentucky,0.04,4000,5000
21,KY,Kentucky,0.05,5000,8000
21,KY,Kentucky,0.058,8000,75000
21,KY,Kentucky,0.06,75000,
22,LA,Louisiana,0.02,0,12500
22,LA,Louisiana,0.04,12500,50000
22,LA,Louisiana,0.06,50000,
23,ME,Maine,0.058,0,21049
23,ME,Maine,0.0675,21049,37499
23,ME,Maine,0.0715,37499,
24,MD,Maryland,0.02,0,1000
24,MD,Maryland,0.03,1000,2000
24,MD,Maryland,0.04,2000,3000
24,MD,Maryland,0.0475,3000,100000
24,MD,Maryland,0.05,100000,125000
24,MD,Maryland,0.0525,125000,150000
24,MD,Maryland,0.055,150000,250000
24,MD,Maryland,0.0575,250000,
25,MA,Massachusetts,0.051,0,
26,MI,Michigan,0.0425,0,
27,MN,Minnesota,0.0535,0,25180
27,MN,Minnesota,0.0705,25180,82740
27,MN,Minnesota,0.0785,82740,155650
27,MN,Minnesota,0.0985,155650,
28,MS,Mississippi,0.03,0,5000
28,MS,Mississippi,0.04,5000,10000
28,MS,Mississippi,0.05,10000,
29,MO,Missouri,0.015,0,1000
29,MO,Missouri,0.02,1000,2000
29,MO,Missouri,0.025,2000,3000
29,MO,Missouri,0.03,3000,4000
29,MO,Missouri,0.035,4000,5000
29,MO,Missouri,0.04,5000,6000
29,MO,Missouri,0.045,6000,7000
29,MO,Missouri,0.05,7000,8000
29,MO,Missouri,0.055,8000,9000
29,MO,Missouri,0.06,9000,
30,MT,Montana,0.01,0,2900
30,MT,Montana,0.02,2900,5100
30,MT,Montana,0.03,5100,7800
30,MT,Montana,0.04,7800,10500
30,MT,Montana,0.05,10500,13500
30,MT,Montana,0.06,13500,17400
30,MT,Montana,0.069,17400,
31,NE,Nebraska,0.0246,0,3060
31,NE,Nebraska,0.0351,3060,18370
31,NE,Nebraska,0.0501,18370,29590
31,NE,Nebraska,0.0684,29590,
32,NV,Nevada,0,0,
33,NH,New Hampshire,0.05,0,
34,NJ,New Jersey,0.014,0,20000
34,NJ,New Jersey,0.0175,20000,35000
34,NJ,New Jersey,0.035,35000,40000
34,NJ,New Jersey,0.05525,40000,75000
34,NJ,New Jersey,0.0637,75000,500000
34,NJ,New Jersey,0.0897,500000,
35,NM,New Mexico,0.017,0,5500
35,NM,New Mexico,0.032,5500,11000
35,NM,New Mexico,0.047,11000,16000
35,NM,New Mexico,0.049,16000,
36,NY,New York,0.04,0,8450
36,NY,New York,0.045,8450,11650
36,NY,New York,0.0525,11650,13850
36,NY,New York,0.059,13850,21300
