" Table 4. Total Income Tax after Credits, 1980–2013 (in Billions of Dollars)",,,,,,,,,,,
Year,Total,Top 0.1%,Top 1%,Top 5%,Between 5% & 10%,Top 10%,Between 10% & 25%,Top 25%,Between 25% & 50%,Top 50%,Bottom 50%
1980,$249 ,,$47 ,$92 ,$31 ,$123 ,$59 ,$182 ,$50 ,$232 ,$18 
1981,$282 ,,$50 ,$99 ,$36 ,$135 ,$69 ,$204 ,$57 ,$261 ,$21 
1982,$276 ,,$53 ,$100 ,$34 ,$134 ,$66 ,$200 ,$56 ,$256 ,$20 
1983,$272 ,,$55 ,$101 ,$34 ,$135 ,$64 ,$199 ,$54 ,$252 ,$19 
1984,$297 ,,$63 ,$113 ,$37 ,$150 ,$68 ,$219 ,$57 ,$276 ,$22 
1985,$322 ,,$70 ,$125 ,$41 ,$166 ,$73 ,$238 ,$60 ,$299 ,$23 
1986,$367 ,,$94 ,$156 ,$44 ,$201 ,$78 ,$279 ,$64 ,$343 ,$24 
"The Tax Reform Act of 1986 changed the definition of AGI, so data above and below this line are not strictly comparable.",,,,,,,,,,,
1987,$369 ,,$92 ,$160 ,$46 ,$205 ,$79 ,$284 ,$63 ,$347 ,$22 
1988,$413 ,,$114 ,$188 ,$48 ,$236 ,$85 ,$321 ,$68 ,$389 ,$24 
1989,$433 ,,$109 ,$190 ,$51 ,$241 ,$93 ,$334 ,$73 ,$408 ,$25 
1990,$447 ,,$112 ,$195 ,$52 ,$248 ,$97 ,$344 ,$77 ,$421 ,$26 
1991,$448 ,,$111 ,$194 ,$56 ,$250 ,$96 ,$347 ,$77 ,$424 ,$25 
1992,$476 ,,$131 ,$218 ,$58 ,$276 ,$97 ,$374 ,$78 ,$452 ,$24 
1993,$503 ,,$146 ,$238 ,$60 ,$298 ,$101 ,$399 ,$80 ,$479 ,$24 
1994,$535 ,,$154 ,$254 ,$64 ,$318 ,$108 ,$425 ,$84 ,$509 ,$25 
1995,$588 ,,$178 ,$288 ,$70 ,$357 ,$115 ,$473 ,$88 ,$561 ,$27 
1996,$658 ,,$213 ,$335 ,$76 ,$411 ,$124 ,$535 ,$95 ,$630 ,$28 
1997,$727 ,,$241 ,$377 ,$82 ,$460 ,$134 ,$594 ,$102 ,$696 ,$31 
1998,$788 ,,$274 ,$425 ,$88 ,$513 ,$139 ,$652 ,$103 ,$755 ,$33 
1999,$877 ,,$317 ,$486 ,$97 ,$583 ,$150 ,$733 ,$109 ,$842 ,$35 
2000,$981 ,,$367 ,$554 ,$106 ,$660 ,$164 ,$824 ,$118 ,$942 ,$38 
"The IRS changed methodology, so data above and below this line are not strictly comparable.",,,,,,,,,,,
2001,$885 ,$139 ,$294 ,$462 ,$101 ,$564 ,$158 ,$722 ,$120 ,$842 ,$43 
2002,$794 ,$120 ,$263 ,$420 ,$93 ,$513 ,$143 ,$657 ,$104 ,$761 ,$33 
2003,$746 ,$115 ,$251 ,$399 ,$85 ,$484 ,$133 ,$617 ,$98 ,$715 ,$30 
2004,$829 ,$142 ,$301 ,$467 ,$91 ,$558 ,$137 ,$695 ,$102 ,$797 ,$32 
2005,$932 ,$176 ,$361 ,$549 ,$98 ,$647 ,$145 ,$793 ,$106 ,$898 ,$33 
2006,"$1,020 ",$196 ,$402 ,$607 ,$108 ,$715 ,$157 ,$872 ,$113 ,$986 ,$35 
2007,"$1,112 ",$221 ,$443 ,$666 ,$117 ,$783 ,$170 ,$953 ,$122 ,"$1,075 ",$37 
2008,"$1,029 ",$187 ,$386 ,$597 ,$115 ,$712 ,$168 ,$880 ,$117 ,$997 ,$32 
2009,$863 ,$146 ,$314 ,$502 ,$101 ,$604 ,$146 ,$749 ,$93 ,$842 ,$21 
2010,$949 ,$170 ,$355 ,$561 ,$110 ,$670 ,$156 ,$827 ,$100 ,$927 ,$22 
2011,"$1,043 ",$168 ,$366 ,$589 ,$123 ,$712 ,$181 ,$893 ,$120 ,"$1,012 ",$30 
2012,"$1,185 ",$220 ,$451 ,$699 ,$133 ,$831 ,$193 ,"$1,024 ",$128 ,"$1,152 ",$33 
2013,"$1,232 ",$228 ,$466 ,$721 ,$139 ,$860 ,$203 ,"$1,063 ",$135 ,"$1,198 ",$34 
Source: Internal Revenue Service.,,,,,,,,,,,
,,,,,,,,,,,
